champion,matches,wins,kills,deaths,assists,losses,winrate,kda
Aatrox,193,90,5.94300518134715,5.715025906735751,6.575129533678757,103,0.46632124352331605,2.1903898458748867
Ahri,246,108,6.650406504065041,5.565040650406504,8.121951219512194,138,0.43902439024390244,2.6544923301680057
Akali,236,128,8.059322033898304,5.338983050847458,4.860169491525424,108,0.5423728813559322,2.4198412698412697
Akshan,99,54,9.222222222222221,6.01010101010101,6.262626262626263,45,0.5454545454545454,2.576470588235294
Alistar,222,119,1.7342342342342343,6.2792792792792795,14.445945945945946,103,0.536036036036036,2.576757532281205
Ambessa,241,121,5.908713692946058,5.352697095435684,5.452282157676349,120,0.5020746887966805,2.122480620155039
Amumu,57,26,3.7017543859649122,7.43859649122807,13.75438596491228,31,0.45614035087719296,2.346698113207547
Anivia,163,74,4.730061349693251,5.141104294478527,7.9447852760736195,89,0.4539877300613497,2.465393794749404
Annie,102,48,5.519607843137255,6.029411764705882,8.833333333333334,54,0.47058823529411764,2.380487804878049
Aphelios,139,69,7.402877697841727,6.568345323741007,5.784172661870503,70,0.49640287769784175,2.0076670317634173
Ashe,177,86,6.593220338983051,6.52542372881356,9.028248587570621,91,0.4858757062146893,2.3939393939393936
AurelionSol,92,44,6.826086956521739,5.923913043478261,8.869565217391305,48,0.4782608695652174,2.6495412844036696
Aurora,150,79,6.886666666666667,5.113333333333333,7.053333333333334,71,0.5266666666666666,2.726205997392438
Azir,59,26,6.559322033898305,7.186440677966102,6.3559322033898304,33,0.4406779661016949,1.7971698113207546
Bard,280,140,2.539285714285714,5.785714285714286,14.935714285714285,140,0.5,3.02037037037037
Belveth,92,50,8.076086956521738,4.891304347826087,6.826086956521739,42,0.5434782608695652,3.0466666666666664
Blitzcrank,121,63,3.3884297520661155,6.603305785123967,13.644628099173554,58,0.5206611570247934,2.5794743429286604
Brand,135,58,5.62962962962963,6.792592592592593,9.392592592592592,77,0.42962962962962964,2.2115594329334787
Braum,144,73,1.5138888888888888,5.923611111111111,15.472222222222221,71,0.5069444444444444,2.8675263774912074
Briar,69,37,8.710144927536232,8.057971014492754,8.144927536231885,32,0.5362318840579711,2.091726618705036
Caitlyn,271,140,6.904059040590406,5.841328413284133,6.501845018450185,131,0.5166051660516605,2.29500947567909
Camille,309,152,5.184466019417476,7.197411003236246,9.407766990291263,157,0.4919093851132686,2.027428057553957
Cassiopeia,154,78,6.753246753246753,6.318181818181818,6.9935064935064934,76,0.5064935064935064,2.1757451181911613
Chogath,123,65,7.008130081300813,6.146341463414634,7.105691056910569,58,0.5284552845528455,2.2962962962962963
Corki,70,33,7.5,6.628571428571429,6.242857142857143,37,0.4714285714285714,2.0732758620689653
Darius,139,55,6.697841726618705,5.928057553956834,4.697841726618705,84,0.39568345323741005,1.922330097087379
Diana,156,78,6.7756410256410255,6.2756410256410255,7.653846153846154,78,0.5,2.299284984678243
DrMundo,143,72,4.384615384615385,5.293706293706293,7.195804195804196,71,0.5034965034965035,2.1875825627476884
Draven,172,86,8.180232558139535,7.308139534883721,6.406976744186046,86,0.5,1.9960222752585521
Ekko,220,99,8.018181818181818,5.2681818181818185,6.554545454545455,121,0.45,2.7661777394305433
Elise,127,71,5.850393700787402,6.21259842519685,9.149606299212598,56,0.5590551181102362,2.414448669201521
Evelynn,68,42,9.588235294117647,5.720588235294118,7.838235294117647,26,0.6176470588235294,3.0462724935732646
Ezreal,395,194,6.483544303797468,5.5139240506329115,6.589873417721519,201,0.4911392405063291,2.3709825528007342
FiddleSticks,67,35,6.164179104477612,6.432835820895522,9.776119402985074,32,0.5223880597014925,2.4779582366589326
Fiora,144,68,6.847222222222222,6.659722222222222,5.381944444444445,76,0.4722222222222222,1.8362877997914495
