puuid,region,league,summoner_name,matches,wins,kills,deaths,assists,losses,winrate,matches_month,kda,leaguePoints
--XJ2IG3dwIUxLZQocscjcusWi2IdMXUhsgL8GXsUPhPl6S2A8cWabgkrca0sziTqHnm3kw4gK5BIA,na,challenger,,1,0,4.0,6.0,6.0,1,0.0,1,1.6666666666666667,
--iU1KaH5tibCjBJe5YyWc7OtyNWmt681CfVkyhoLOFcfQZ669_f_st6w_CvNADofhVs4jZsXS0QQg,euw,challenger,,1,1,13.0,10.0,13.0,0,1.0,1,2.6,
--u333E4cJ3dCxTWRlEqy6Nlu0-Vt2-yRKuOIj8I9wmSJp1Uu_bsZJ7DmBJMHIPsbOctO2KeK3QMOw,na,grandmaster,,1,0,2.0,3.0,2.0,1,0.0,1,1.3333333333333333,
-0gSL_BRBVJQcgdfPpuzIqQSHlo1XhMezgwMx0rvR-p1OxM4szjaFZBO048idHKQ6-t4zmZukpoSRw,na,master,,1,1,0.0,1.0,11.0,0,1.0,1,11.0,
-1EIl85tomKDZ4ulVd935sNet4gWkcb1X5a8MMzLu_bimH6K4Hgfx6OueRsYfgycw8_0vGYf2uj_DA,na,master,,1,0,2.0,8.0,5.0,1,0.0,1,0.875,
-1M-qR70AQzAZG3k6I1Kq8r8kO7jufvcUp5GnhxkRrq0ANufW1NIWzil6_pYhY74OHTce9oK8_kfsA,euw,master,,1,1,9.0,7.0,11.0,0,1.0,1,2.857142857142857,
-1hMcK3KbU0kOHvx82el1apPElpNeu_DloU92RWsF6v1qCCcuzbtF1xwIu_c6Ek2SvB-llMtyVZVXQ,na,challenger,,2,1,5.0,4.5,19.5,1,0.5,2,5.444444444444445,
-2D1YvfP885l0l_cqd8Nbd2e9f5lEDC0MDedXadOkyqWkI99I5n-S_BsaS6SAKR_oe9b3IQGdCkI5A,euw,grandmaster,,2,2,11.0,6.0,17.0,0,1.0,2,4.666666666666667,
-2XSe-zTrFKoogod3ENt1JgyJT6d8M9BCiJGwyDHvWKfpEmyGPodnu2nXUuHAv1nG85SiYljmWlwKg,euw,grandmaster,,4,3,8.25,6.25,8.75,1,0.75,4,2.72,
-2eZnJI6HRciVVtB6WTdBJCxdif_SXx3tGr85zHSZ-OflzMPyjChuNj_edj8ufa3YTaiox6jeYXquQ,na,grandmaster,,2,2,6.5,2.0,5.5,0,1.0,2,6.0,
-2tI4L48y7-2T-AWq9dry6D9IKtMajqEO9RIhiMNnNAvRM-wkaxSJm3hQ6qnHz-UTeYmEmHAnsU_Vg,na,master,,1,1,0.0,12.0,12.0,0,1.0,1,1.0,
-3B8zwP7jGaz7nyQoV0F5VddRn8d2kN5i0Z8pSE1Y8i39aurSOH5XgO_xg17uu-8ZlyvuanieUtFUw,euw,grandmaster,,5,4,5.4,4.8,9.4,1,0.8,6,3.083333333333333,2136.0
-3EBJbSFcEaFXN9IdA_TKc8c3avsQ_-5GHvqCJJ99Gn1V2UMz0lsR4yzucX4hHrLbH6WhISceUmwlA,na,challenger,,3,1,6.666666666666667,5.666666666666667,13.333333333333334,2,0.3333333333333333,5,3.5294117647058822,
-3hWbHaMeMitKx3Et6cA226mgTJmOPMWF_rV-_l1g0PWDJM8i_uJQDt4gECYeuPa2IPchBctkOSfXQ,na,grandmaster,,1,1,15.0,6.0,13.0,0,1.0,1,4.666666666666667,
-4NBBFwstfM6gIr9w7IuPoFEdtnrIguP0fDmRtlxBouaPX0Ns_Obh_xT-VRIwkSu2SVb-bcX7L8dyA,na,challenger,,1,0,1.0,8.0,7.0,1,0.0,1,1.0,
-5-GBMiFAuVz-rBhP33nU2rcNM4AVP3RD49yZ2D6k1wnMg509kOJTkPXm9C4n4ySC_OEg1ueOMJkEQ,euw,master,,1,0,1.0,7.0,5.0,1,0.0,1,0.8571428571428571,
-5BFrhyQ78rbotkkC1qllwLfqIDkjoXEhs6X1lYEaZeWMByyinAXb8OIv6GDjqEVEFLjVnhCLh0osA,euw,challenger,,1,0,2.0,3.0,0.0,1,0.0,1,0.6666666666666666,
-5Iq2S1aYvhQb7jBl5b1Mz3i8ApOrtjDzjHns3nlJ42CrF8ntMbPZ5WKPn9efYYW8DkY4Ada_WZXKQ,na,grandmaster,,1,0,6.0,12.0,8.0,1,0.0,1,1.1666666666666667,
-5M5uH6gGUmrAehEOsRI8EK5uTjqoVoRO_blNvhghIGbH1JQLBGZCy4Ebc5hfF1BHgev_NaRK2S6-w,euw,challenger,,10,5,7.3,4.0,7.8,5,0.5,14,3.775,2117.0
-5MU3BiR2auKHuFKwcqv_ClUhMRIkmeEMnHq7g7ziNqn2u-4ZGodlRtuRBUU_d-MjgWVVWt6DspQtA,euw,challenger,,1,0,5.0,10.0,2.0,1,0.0,2,0.7,
-5Y5ukUdaolG17uwWEyH6g7yB5saN1qtZOyVWxOOIgkQZosxgjc-3BugKGaWvW2u_jiJ5Z71Vszt_Q,na,challenger,,4,2,7.75,9.5,6.25,2,0.5,4,1.4736842105263157,1403.0
-5vionCf0BXLShtBCfNiOMlTa3lJMmtczAw1Clzp4gxjhR1OWqMXEW93-DVTltrVWLi9ITN12K4VSw,na,challenger,,23,10,7.695652173913044,5.304347826086956,6.521739130434782,13,0.4347826086956521,30,2.6803278688524594,1730.0
-6-xiIr_PbAGVib50qK74kiQLASgeWDM2Ih_Z9_LI9PKhQ1AdEeb3wTEAQAx91_yXKkStupM41NZcQ,euw,grandmaster,,1,0,16.0,8.0,1.0,1,0.0,1,2.125,
-66GwQQesqTPXX0dFKm8qqhQoISNGc9GvijvXmnhpEy8bf9c4hMy1CxOAERn7JvahwuZQxAOuTv4zA,euw,challenger,,1,1,10.0,6.0,8.0,0,1.0,2,3.0,
-68GKt8HMoXMnD8sZJIEvK4Tyaxt805ylWLsXT8y2ywNXG8jXtgKdD0AO8Gmg3NhcScxc4rItepNhQ,na,challenger,,1,1,5.0,7.0,30.0,0,1.0,1,5.0,
